Centerline_X,Centerline_Y,Centerline_Z,CrossCenter_X,CrossCenter_Y,CrossCenter_Z,MaximumInscribedSphereRadius,Curvature,Torsion,EdgeArray_0,EdgeArray_1,EdgePCoordArray,FrenetTangent_X,FrenetTangent_Y,FrenetTangent_Z,FrenetNormal_X,FrenetNormal_Y,FrenetNormal_Z,FrenetBinormal_X,FrenetBinormal_Y,FrenetBinormal_Z,CenterlineSectionArea,CenterlineSectionMinSize,CenterlineSectionMaxSize,CenterlineSectionShape,CenterlineSectionClosed
353.94635009765625,301.3836975097656,-580.27783203125,354.451281490567,301.90714811520826,-580.1969701044329,4.057048465185698,0.02467939398621804,0.08534576816091352,247389,247390,0.8960000000000007,-0.6561900569865502,0.5541256791083289,0.5122102506439336,-0.33365859672386905,0.3957615709240518,-0.8555961195634219,-0.6768209142337777,-0.7323370199112292,-0.07480601127779415,68.75470964190087,8.164610788720067,10.409917856179032,0.7843107795393204,1
353.62139892578125,301.658447265625,-580.0275268554688,354.1146914620933,302.10820665997926,-579.8793389475886,4.132849056287148,0.02625583558596205,0.017889096773886035,245566,245566,0.0,-0.6604603490292952,0.5588844150106292,0.5014382693994629,-0.34735992066495996,0.3646394465025134,-0.8639323813644061,-0.6656825165765842,-0.7447726396106179,-0.046695850047924294,69.16250236661622,8.32717903660557,10.330128544349567,0.8061060422293019,1
353.2955017089844,301.9344482421875,-579.78369140625,353.75626114018866,302.3794687563874,-579.6696999429357,4.246312486585006,0.02758467353217807,-0.00269829094031307,245457,245457,0.0,-0.6649278644767246,0.5637065602832712,0.4900059682657195,-0.33029440437422136,0.36649429339657136,-0.8698204063752621,-0.6699078604416437,-0.7402140547175193,-0.05750314528048422,70.11209548526479,8.496499104808713,10.296762766785173,0.8251621696302776,1
352.9710693359375,302.20977783203125,-579.5482788085938,353.39468034114236,302.61620911165915,-579.4384501343012,4.3122413390157135,0.027165621680739868,-0.0009885044017098482,246318,247206,0.18000000000000013,-0.6692895803036455,0.5684715797106612,0.4784260870377319,-0.3277110053364191,0.352036154723236,-0.8767417195212461,-0.6668260302945316,-0.7435795914553756,-0.04931973735426072,71.74279735619716,8.743069443137303,10.304658013613224,0.8484579916759056,1
352.6508483886719,302.48199462890625,-579.3228759765625,352.9827478014712,302.75420026544805,-579.1785154711313,4.345881896586828,0.024975832326630403,-0.047744983900682395,247386,247386,0.0,-0.6732561479799049,0.5728403714873115,0.4675254731044494,-0.3117779689885736,0.35340481908025206,-0.881986129088329,-0.6704630170715015,-0.7395667262966428,-0.059332959594531755,74.12384800199644,9.032030534665564,10.296058576465272,0.8772318521294136,1
352.3377990722656,302.74859619140625,-579.1085205078125,352.61880770232057,302.96765013506837,-578.9693486228655,4.545314301924526,0.019836747868494053,-0.06578218868627295,247201,247473,0.9480000000000007,-0.6763351811562375,0.5766128654532189,0.4583539310665803,-0.277052198655531,0.3774308948550931,-0.8836220905053358,-0.6825047999468542,-0.7246126710199813,-0.09551793049890009,76.96242909208445,9.340408126810232,10.36582963829516,0.9010767543683482,1
352.03509521484375,303.0069580078125,-578.9055786132812,352.28112047091383,303.2239492631759,-578.8140364279086,4.620126547589018,0.01343348477305902,-0.03478635367742858,247477,247477,0.0,-0.6783598147523691,0.5794388957154646,0.4517505150646477,-0.2635845675643748,0.38199863263530504,-0.8857766199255086,-0.6858215055472037,-0.7199497279649463,-0.1064013709130042,79.82402902194849,10.407862702417948,10.470166288201591,0.994049417739062,1
351.74554443359375,303.2544860839844,-578.714111328125,351.93231720585356,303.44061318547887,-578.6723990241535,4.804246408756395,0.004933291263176148,-0.38692449930802353,238256,238256,0.0,-0.6793844698554844,0.5809837509521389,0.4482126986696891,-0.23791757370151778,0.40341623882749433,-0.8835443205489246,-0.6941411745770202,-0.7069039675796572,-0.135848483160371,82.52606683122488,10.567665201695274,10.572124347149021,0.9995782167039163,1
351.4716796875,303.48876953125,-578.5338745117188,351.62216997524706,303.6624782287696,-578.5311578187057,4.882493377114672,0.009057830108336733,-0.20596371701657823,248716,249021,0.33600000000000024,-0.6790819022318254,0.5808750088290422,0.44881175806685986,0.3235627742363991,-0.3119450262210105,0.893307019867424,0.6589043186909996,0.751847407878642,0.023886692456602774,85.0039827458175,10.044194901345865,10.786965274676591,0.9311418592331572,1
351.2154541015625,303.7079162597656,-578.36376953125,351.29273878178094,303.8274053496614,-578.4005405196017,4.915220404311512,0.025800799239906164,-0.04549774801678424,249025,249025,0.0,-0.6771089330326451,0.5787703103237491,0.4544759847287248,0.3063147949857641,-0.3398707297533891,0.889190155945132,0.6690999470783286,0.7412913158432722,0.052843598241677524,87.07383105824836,10.204224991524644,10.938513128651428,0.9328713026632979,1
350.97808837890625,303.9106750488281,-578.2025756835938,350.9771972277415,304.02340817033036,-578.3434809938863,5.171024420435785,0.04366837090909711,0.019697364366514106,249018,249018,0.0,-0.6734538156097397,0.5745915892625291,0.46508543708596545,0.30576818432244796,-0.35628388115060794,0.8829312620404904,0.6730273216570306,0.7368217569948791,0.06424891222537067,88.67883618339796,10.299946081393834,11.058586450882029,0.9313980703720334,1
350.759765625,304.0967102050781,-578.049072265625,350.763819360419,304.20786159899524,-578.1755473475803,5.186175543918887,0.07006481203066421,0.0343178791214978,247740,247740,0.0,-0.6676787517267396,0.5681066396204026,0.48110282737875976,0.3267404574587844,-0.3570511014606691,0.8750743879267336,0.6689138643743655,0.7414643329014128,0.052772010410973916,89.75823760295577,10.377761262410601,11.13577574934337,0.9319297995941176,1
